Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-05-24,199.0,9076689.0,5396.0,1551.0,257.0,58.9,5.9,58404.0,4508.0,1643.0,269.0,6.6,54.8,54529.0,8.5,11.2,8.5,23.0,False
2025-05-26,183.0,9088597.0,5396.0,1322.0,253.0,53.0,5.5,58460.0,4508.0,1375.0,264.0,6.3,54.6,54584.0,9.0,11.4,9.0,25.0,False
2025-05-28,182.0,9097809.0,5396.0,1494.0,265.0,27.9,6.4,58507.0,4508.0,1485.0,276.0,7.2,57.5,54631.0,9.0,12.3,10.0,27.0,False
2025-05-29,174.0,9102432.0,5396.0,1233.0,257.0,50.5,5.9,58529.0,4508.0,1279.0,267.0,6.5,51.8,54654.0,9.0,11.4,8.9,24.0,False
2025-05-30,195.0,9106775.0,5397.0,1180.0,288.0,48.9,5.9,58545.0,4508.0,1239.0,269.0,6.6,50.9,54680.0,9.0,11.8,9.0,26.0,False
2025-05-31,182.0,9109918.0,5393.0,1172.0,261.0,48.6,6.0,58562.0,4508.0,1232.0,271.0,6.8,50.4,54697.0,9.0,11.6,9.0,22.0,False
2025-06-04,154.0,9126008.0,5402.0,1464.0,250.0,56.9,5.2,58640.0,4512.0,1532.0,262.0,6.2,58.0,54795.0,9.0,11.7,9.1,28.0,False
2025-06-05,177.0,9130536.0,5402.0,1478.0,261.0,57.3,6.1,58665.0,4512.0,1539.0,272.0,6.9,58.9,54819.0,9.0,12.1,10.5,29.0,False
2025-06-06,180.0,9135850.0,5402.0,1359.0,256.0,54.0,5.7,58689.0,4512.0,1405.0,266.0,6.5,55.0,54844.0,9.0,11.6,9.0,23.0,False
2025-06-07,180.0,9139817.0,5402.0,1138.0,265.0,47.5,6.0,58706.0,4512.0,1220.0,270.0,6.8,50.0,54861.0,9.0,11.9,8.8,20.0,False
2025-06-09,182.0,9151923.0,5402.0,1566.0,275.0,59.3,7.2,58761.0,4512.0,1708.0,289.0,8.2,62.8,54916.0,9.0,13.0,10.8,28.0,False
2025-06-10,188.0,9157914.0,5402.0,1663.0,274.0,62.0,7.0,58787.0,4512.0,1576.0,285.0,7.9,59.0,54941.0,9.0,12.9,10.6,27.0,False
2025-06-11,182.0,9162560.0,5402.0,1593.0,259.0,60.2,5.8,58810.0,4512.0,1560.0,268.0,6.6,59.0,54964.0,9.0,11.6,9.7,26.0,False
2025-06-12,182.0,9167742.0,5402.0,1306.0,257.0,52.7,5.8,58834.0,4512.0,1338.0,268.0,6.5,53.5,54989.0,9.0,11.8,8.9,20.0,False
2025-06-13,187.0,9172825.0,5402.0,1497.0,291.0,57.9,8.3,58859.0,4512.0,1596.0,304.0,9.3,60.6,55013.0,9.0,13.9,11.5,28.0,True
2025-06-14,184.0,9176053.0,5402.0,1244.0,262.0,50.6,6.1,58874.0,4512.0,1293.0,273.0,7.0,52.2,55029.0,9.0,11.9,8.9,19.0,False
2025-06-16,185.0,9186191.0,5402.0,1213.0,262.0,49.0,6.2,58931.0,4512.0,1117.0,274.0,7.0,48.0,55085.0,9.0,12.2,9.1,16.0,False
2025-06-18,186.0,9195289.0,5404.0,1375.0,260.0,54.0,6.0,58978.0,4512.0,1428.0,271.0,6.8,56.0,55133.0,9.0,12.3,9.2,20.0,False
2025-06-19,180.0,9198750.0,5407.0,1188.0,259.0,49.3,5.9,59001.0,4512.0,1230.0,270.0,6.7,50.0,55156.0,9.0,11.9,8.9,19.0,False
2025-06-21,173.0,9204868.0,5408.0,872.0,268.0,38.3,6.6,59042.0,4512.0,933.0,278.0,7.4,40.0,55197.0,9.0,11.6,9.0,17.0,False
2025-06-23,174.0,9215650.0,5408.0,1036.0,264.0,44.2,6.3,59098.0,4512.0,1071.0,274.0,7.0,45.0,55253.0,9.0,11.5,9.0,18.0,False
2025-06-24,159.0,9219908.0,5408.0,980.0,265.0,42.0,6.4,59122.0,4512.0,1019.0,275.0,7.1,43.0,55277.0,9.0,11.7,8.9,18.0,False
2025-06-25,173.0,9223612.0,5408.0,1079.0,264.0,45.7,6.3,59146.0,4512.0,1139.0,274.0,7.0,47.6,55301.0,9.0,11.9,9.1,19.0,False
2025-06-26,186.0,9227056.0,5409.0,1117.0,264.0,46.9,6.3,59169.0,4512.0,1143.0,274.0,7.1,47.7,55325.0,9.0,11.7,9.0,18.0,False
2025-06-27,185.0,9230355.0,5409.0,1447.0,253.0,57.0,7.4,59191.0,4512.0,1503.0,265.0,7.2,58.0,55347.0,9.0,11.4,9.0,25.0,False
2025-06-28,180.0,9233250.0,5409.0,1222.0,261.0,50.0,6.1,59211.0,4512.0,1252.0,272.0,6.9,50.0,55366.0,9.0,11.9,9.1,19.0,False
